id;title;product_url;gender;price_retail;sub_categorie;categorie;age;shape;color;occasion;season
50228;Denim pants for girls with embroidery;https://acoolakids.ru/dzhinsy-dlya-devochek/dzhinsovye-bryuki-dlya-devochek-s-vyshivkoj-temno-goluboj-20210160177;female;0;skinny_leg;jeans;14_24;column;blue;casual;autumn
50229;Skirt for girls from jacquard;https://acoolakids.ru/yubki-dlya-devochek/yubka-dlya-devochek-iz-zhakkarda-chernyj-20210180088;female;0;pencil;skirts;14_24;column;grey;casual;spring
50230;Denim pants for girls with embroidery;https://acoolakids.ru/dzhinsy-dlya-devochek/dzhinsovye-bryuki-dlya-devochek-s-vyshivkoj-sinij-20210160177;female;0;skinny_leg;jeans;14_24;column;blue;casual;autumn
50231;Jumper for girls overseas;https://acoolakids.ru/dzhempery-dlya-devochek/dzhemper-dlya-devochek-oversajz-seryj-20210100200;female;0;turtleneck_roll_neck;sweaters_jumpers;14_24;column;grey;casual;autumn
50232;Shirt for boys in a cage;https://acoolakids.ru/rubashki-dlya-malchikov/sorochka-dlya-malchikov-v-kletku-sinij-20120280068;male;0;t_shirt;tops;14_24;column;blue;casual;autumn
50233;Twill boys trousers;https://acoolakids.ru/bryuki-dlya-malchikov/bryuki-dlya-malchikov-iz-tvila-haki-20120160187;male;0;straight_leg;trousers;14_24;column;yellow;casual;autumn
50234;Shirt for boys in a cage;https://acoolakids.ru/rubashki-dlya-malchikov/sorochka-dlya-malchikov-v-kletku-sinij-20110280086;male;0;t_shirt;tops;14_24;column;blue;casual;autumn
50235;Striped boys sweater;https://acoolakids.ru/dzhempery-dlya-malchikov/dzhemper-dlya-malchikov-v-polosku-cvetnoj-20120100159;male;0;turtleneck_roll_neck;sweaters_jumpers;14_24;column;blue;casual;autumn
50236;Twill boys trousers;https://acoolakids.ru/bryuki-dlya-malchikov/bryuki-dlya-malchikov-iz-tvila-haki-20110160181;male;0;straight_leg;trousers;14_24;column;brown;casual;autumn
50237;Jumper for boys with a collar golf;https://acoolakids.ru/dzhempery-dlya-malchikov/dzhemper-dlya-malchikov-s-vorotnikom-golf-haki-20110100154;male;0;turtleneck_roll_neck;sweaters_jumpers;14_24;column;yellow;casual;autumn
50238;Jumper for boys with a collar golf;https://acoolakids.ru/dzhempery-dlya-malchikov/dzhemper-dlya-malchikov-s-vorotnikom-golf-seryj-20110100154;male;0;turtleneck_roll_neck;sweaters_jumpers;14_24;column;blue;casual;autumn
50239;Jumper for boys with a collar golf;https://acoolakids.ru/dzhempery-dlya-malchikov/dzhemper-dlya-malchikov-s-vorotnikom-golf-sinij-20110100154;male;0;turtleneck_roll_neck;sweaters_jumpers;14_24;column;blue;casual;autumn
50245;Jacket for girls with sequin embroidery;https://acoolakids.ru/verhnyaya-odezhda-dlya-devochek/kurtka-dlya-devochek-s-vyshivkoj-iz-pajetok-haki-20220130141;female;0;bomber;jackets;14_24;column;yellow;casual;autumn
50246;Jacket for girls two-sided;https://acoolakids.ru/verhnyaya-odezhda-dlya-devochek/kurtka-dlya-devochek-dvuhstoronnyaya-temno-goluboj-20210130149;female;0;bomber;jackets;14_24;column;blue;casual;autumn
50247;Dress for girls in a cage;https://acoolakids.ru/platya-dlya-devochek/plate-dlya-devochek-v-kletku-krasnyj-20210200262;female;0;knee_length;dresses;14_24;column;red;casual;autumn
50249;Jacket for girls with a metallic effect;https://acoolakids.ru/verhnyaya-odezhda-dlya-devochek/kurtka-dlya-devochek-s-effektom-metallik-serebryanyj-20210130147;female;0;bomber;jackets;14_24;column;grey;casual;autumn
50250;Jacket for girls with a hood;https://acoolakids.ru/verhnyaya-odezhda-dlya-devochek/kurtka-dlya-devochek-s-kapyushonom-krasnyj-20210130146;female;0;bomber;jackets;14_24;column;red;casual;autumn
50252;Jumper for girls basic;https://acoolakids.ru/dzhempery-dlya-devochek/dzhemper-dlya-devochek-bazovyj-belyj-20240100019;female;0;turtleneck_roll_neck;sweaters_jumpers;14_24;column;white;casual;autumn
50254;Gloves for girls;https://acoolakids.ru/aksessuary-dlya-devochek/perchatki-dlya-devochek-chernyj-20236420014;female;0;gloves;accessories;14_24;column;grey;casual;autumn
50255;T-shirt for girls in the color block style;https://acoolakids.ru/futbolki-topy-dlya-devochek/futbolka-dlya-devochek-v-stile-kolor-blok-assorti-20210110155;female;0;t_shirt;tops;14_24;column;orange;casual;autumn
50256;Cap for boys;https://acoolakids.ru/aksessuary-dlya-malchikov/shapka-dlya-malchikov-cvetnoj-20126400044;male;0;hats;accessories;14_24;column;orange;casual;autumn
50257;Children bag;https://acoolakids.ru/aksessuary-dlya-devochek/sumka-detskaya-chernyj-20206100089;female;0;shoulder_bags;bags;14_24;column;black;casual;autumn
50258;T-shirt for boys basic;https://acoolakids.ru/futbolki-dlya-malchikov/futbolka-dlya-malchikov-bazovaya-belyj-20120110134;male;0;t_shirt;tops;14_24;column;white;casual;spring
50259;Jumper for boys with a bright print;https://acoolakids.ru/dzhempery-dlya-malchikov/dzhemper-dlya-malchikov-s-yarkim-printom-seryj-20120100142;male;0;turtleneck_roll_neck;sweaters_jumpers;14_24;column;brown;casual;autumn
50260;Cap for boys;https://acoolakids.ru/aksessuary-dlya-malchikov/shapka-dlya-malchikov-temno-seryj-20116400033;male;0;hats;accessories;14_24;column;grey;casual;autumn
50261;Boys' jumper with contrast print;https://acoolakids.ru/dzhempery-dlya-malchikov/dzhemper-dlya-malchikov-s-kontrastnyj-printom-temno-zelenyj-20110170050;male;0;turtleneck_roll_neck;sweaters_jumpers;14_24;column;yellow;casual;autumn
50262;T-shirt for boys with a contrast print;https://acoolakids.ru/futbolki-dlya-malchikov/futbolka-dlya-malchikov-s-kontrastnym-printom-seryj-20110110140;male;0;t_shirt;tops;14_24;column;green;casual;autumn
50263;T-shirt for boys in rocker style;https://acoolakids.ru/futbolki-dlya-malchikov/futbolka-dlya-malchikov-v-rokerskom-stile-svetlo-seryj-20110110139;male;0;t_shirt;tops;14_24;column;grey;casual;autumn
50264;Boys' Rocker Jumper;https://acoolakids.ru/dzhempery-dlya-malchikov/dzhemper-dlya-malchikov-s-printom-v-rokerskom-stile-chernyj-20110100136;male;0;turtleneck_roll_neck;sweaters_jumpers;14_24;column;black;casual;autumn
50265;T-shirt for boys in rocker style;https://acoolakids.ru/futbolki-dlya-malchikov/futbolka-dlya-malchikov-v-rokerskom-stile-seryj-20110110138;male;0;t_shirt;tops;14_24;column;grey;casual;autumn
50268;Jumper for girls with ruffles;https://acoolakids.ru/dzhempery-dlya-devochek/dzhemper-dlya-devochek-s-oborkami-svetlo-rozovyj-20210310067;female;0;turtleneck_roll_neck;sweaters_jumpers;14_24;column;orange;casual;autumn
50269;Jumper for girls with ruffles;https://acoolakids.ru/dzhempery-dlya-devochek/dzhemper-dlya-devochek-s-oborkami-svetlo-rozovyj-20220310064;female;0;turtleneck_roll_neck;sweaters_jumpers;14_24;column;orange;casual;autumn
50270;Sports jacket for girls;https://acoolakids.ru/verhnyaya-odezhda-dlya-devochek/kurtka-dlya-devochek-sportivnaya-seryj-20210130150;female;0;bomber;jackets;14_24;column;grey;casual;autumn
50271;Sweater for boys combined knitting;https://acoolakids.ru/svitera-dlya-malchikov/sviter-dlya-malchikov-kombinirovannoj-vyazki-haki-20120320029;male;0;turtleneck_roll_neck;sweaters_jumpers;14_24;column;yellow;casual;autumn
50272;T-shirt for boys with print;https://acoolakids.ru/futbolki-dlya-malchikov/futbolka-dlya-malchikov-s-printom-goluboj-20120110137;male;0;t_shirt;tops;14_24;column;blue;casual;spring
50274;Sweater for boys combined knitting;https://acoolakids.ru/svitera-dlya-malchikov/sviter-dlya-malchikov-kombinirovannoj-vyazki-haki-20110320030;male;0;turtleneck_roll_neck;sweaters_jumpers;14_24;column;brown;casual;autumn
50275;T-shirt for boys with print;https://acoolakids.ru/futbolki-dlya-malchikov/futbolka-dlya-malchikov-s-printom-goluboj-20110110137;male;0;t_shirt;tops;14_24;column;blue;casual;spring
50278;Jacket for girls Luhta;https://www.conceptclub.ru/verhnyaya-odezhda/kurtka-dlya-devochek-luhta-holodnyj-sinij-print-70250130001;female;0;bomber;jackets;14_24;column;blue;casual;autumn
50280;Jacket for girls Luhta;https://www.conceptclub.ru/verhnyaya-odezhda/kurtka-dlya-devochek-luhta-temno-goluboj-70220130003;female;0;bomber;jackets;14_24;column;pink;casual;autumn
50282;Coat for girls Luhta;https://www.conceptclub.ru/verhnyaya-odezhda/palto-dlya-devochek-luhta-rozovyj-70220130001;female;0;trench;coats;14_24;column;nude;casual;autumn
50283;Coat for girls Luhta;https://www.conceptclub.ru/verhnyaya-odezhda/palto-dlya-devochek-luhta-temno-goluboj-70220130001;female;0;trench;coats;14_24;column;blue;casual;autumn
50284;Jacket for girls Luhta;https://www.conceptclub.ru/verhnyaya-odezhda/kurtka-dlya-devochek-luhta-temno-zelenyj-70210130002;female;0;bomber;jackets;14_24;column;orange;casual;autumn
50287;Jacket for boys Luhta;https://www.conceptclub.ru/verhnyaya-odezhda/kurtka-dlya-malchikov-luhta-sinij-print-70150130001;male;0;bomber;jackets;14_24;column;blue;casual;autumn
